Location,QuadKey,Url,Size,UploadDate
Colombia,32230121,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230121/part-00091-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.7MB,2026-02-23
Colombia,32230122,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230122/part-00035-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.0MB,2026-02-23
Colombia,32230123,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230123/part-00058-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.8MB,2026-02-23
Colombia,32230130,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230130/part-00136-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.6MB,2026-02-23
Colombia,32230131,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230131/part-00060-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.9MB,2026-02-23
Colombia,32230132,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230132/part-00023-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.9MB,2026-02-23
Colombia,32230133,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230133/part-00114-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.8MB,2026-02-23
Colombia,32230201,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230201/part-00054-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.9KB,2026-02-23
Colombia,32230203,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230203/part-00085-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,170.7KB,2026-02-23
Colombia,32230210,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230210/part-00061-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.6MB,2026-02-23
Colombia,32230211,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230211/part-00068-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.6MB,2026-02-23
Colombia,32230212,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230212/part-00181-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.6MB,2026-02-23
Colombia,32230213,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230213/part-00069-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,851.2KB,2026-02-23
Colombia,32230221,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230221/part-00147-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,38.6KB,2026-02-23
Colombia,32230223,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230223/part-00112-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,214.1KB,2026-02-23
Colombia,32230230,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230230/part-00062-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,349.0KB,2026-02-23
Colombia,32230231,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230231/part-00138-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.4MB,2026-02-23
Colombia,32230232,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230232/part-00009-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.7MB,2026-02-23
Colombia,32230233,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230233/part-00161-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.7MB,2026-02-23
Colombia,32230300,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230300/part-00171-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.7MB,2026-02-23
Colombia,32230301,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230301/part-00081-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.7MB,2026-02-23
Colombia,32230302,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230302/part-00095-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.6MB,2026-02-23
Colombia,32230303,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230303/part-00154-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.0MB,2026-02-23
Colombia,32230310,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230310/part-00101-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.2MB,2026-02-23
Colombia,32230311,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230311/part-00174-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.6MB,2026-02-23
Colombia,32230312,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230312/part-00120-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.4MB,2026-02-23
Colombia,32230313,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230313/part-00110-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.9MB,2026-02-23
Colombia,32230320,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230320/part-00064-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,11.9MB,2026-02-23
Colombia,32230321,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230321/part-00197-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.9MB,2026-02-23
Colombia,32230322,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230322/part-00027-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,29.9MB,2026-02-23
Colombia,32230323,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230323/part-00068-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.2MB,2026-02-23
Colombia,32230330,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230330/part-00031-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.6MB,2026-02-23
Colombia,32230331,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230331/part-00083-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.1MB,2026-02-23
Colombia,32230332,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230332/part-00016-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.9MB,2026-02-23
Colombia,32230333,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230333/part-00161-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,9.9MB,2026-02-23
Colombia,32231000,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231000/part-00096-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.9MB,2026-02-23
Colombia,32231001,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231001/part-00008-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,33.7KB,2026-02-23
Colombia,32231002,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231002/part-00156-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,764.8KB,2026-02-23
Colombia,32231020,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231020/part-00159-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,118.2KB,2026-02-23
Colombia,32231022,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231022/part-00002-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.5MB,2026-02-23
Colombia,32231200,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231200/part-00066-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,13.2MB,2026-02-23
Colombia,32231201,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231201/part-00178-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,239.8KB,2026-02-23
